,Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,Oddzały przygotowania wojskowego,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy branżowa szkoła II stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,samodzielna lub zespół - Czy szkoła kształcąca w zawodzie w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""","długość geograficzna 
(w stopniach)","szerokość geograficzna 
(w stopniach)",długość geograficzna (w metrach),szerokość geograficzna (w metrach),Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE),Czas pracy przedszkola - od,Czas pracy przedszkola - do
11,_MOSOC_06,_MOSOC_06_BSI_67,254516.0,367990202.0,14270.0,196266.0,Młodzieżowy Ośrodek Socjoterapii nr 6,Branżowa Szkoła I stopnia Specjalna nr 67 im. Macieja Kozłowskiego,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wola,Koło,ul. Jana Brożka,26,01-451,Sławomir,Kubicz,228367873,228367873,http://www.mos6.edu.pl,http://mos6.bip.um.warszawa.pl,sekretariat.mos6@edu.um.warszawa.pl,67.0,tak,jednostka budżetowa,50.0,,50.0,7.0,,7.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/196266,,Poradnia Psychologiczno-Pedagogiczna nr 2,zagrożeni niedostosowaniem społecznym,,"20,9374485","52,24159359","7495727,635","5789781,579", certyfikat Wars i Sawa,,2555.0,,
12,_MOSOC_06,_MOSOC_06_SP_331,254516.0,16846345.0,14270.0,105297.0,Młodzieżowy Ośrodek Socjoterapii nr 6,Szkoła Podstawowa Specjalna nr 331,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wola,Koło,ul. Jana Brożka,26,01-451,Sławomir,Kubicz,228367873,228367873,http://www.mos6.edu.pl,http://mos6.bip.um.warszawa.pl,sekretariat.mos6@edu.um.warszawa.pl,331.0,tak,jednostka budżetowa,20.0,,20.0,3.0,,3.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105297,,Poradnia Psychologiczno-Pedagogiczna nr 2,zagrożeni niedostosowaniem społecznym,,"20,9374485","52,24159359","7495727,635","5789781,579",,,168.0,,
13,_MOSOC_07,_MOSOC_07_BSI_63,141099160.0,142521453.0,14297.0,105300.0,Młodzieżowy Ośrodek Socjoterapii nr 7,Branżowa Szkoła I stopnia Specjalna nr 63,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Praga Południe,Grochów,ul. Osowska,81,04-351,Krzysztof,Gorczyca,225169820,225169830,http://www.mos7.edu.pl,http://most7.bip.um.warszawa.pl,mos7@mos7.edu.pl,63.0,tak,jednostka budżetowa,29.0,,29.0,4.0,,4.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105300,,Poradnia Psychologiczno – Pedagogiczna nr 16,zagrożeni niedostosowaniem społecznym,,"21,09402847","52,2465719","7506421,621","5790337,806",,,1096.0,,
14,_MOSOC_07,_MOSOC_07_SP_348,141099160.0,141102228.0,14297.0,105299.0,Młodzieżowy Ośrodek Socjoterapii nr 7,Szkoła Podstawowa Specjalna nr 348,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Praga Południe,Grochów,ul. Osowska,81,04-351,Krzysztof,Gorczyca,225169820,225169830,http://www.mos7.edu.pl,http://most7.bip.um.warszawa.pl,mos7@mos7.edu.pl,348.0,tak,jednostka budżetowa,32.0,,32.0,5.0,,5.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-BSI-,tak,tak,tak,,tak,,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105299,,Poradnia Psychologiczno – Pedagogiczna nr 16,niedostosowani społecznie,,"21,09402847","52,2465719","7506421,621","5790337,806",,,1094.0,,
15,_MOSOC_08,_MOSOC_08_SP_349,141542393.0,141542430.0,14315.0,105302.0,Młodzieżowy Ośrodek Socjoterapii nr 8,Szkoła Podstawowa Specjalna nr 349,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Radość,ul. Podmokła,4,04-819,Beata,Kuchniewska,226152750,226155708,http://www.mos8.radosc.edu.pl,http://mos8.bip.um.warszawa.pl,sekretariat.mos8@radosc.edu.pl,349.0,tak,jednostka budżetowa,37.0,,37.0,5.0,,5.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105302,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,22564507","52,18676112","7515431,149","5783702,925",,,1107.0,,
16,_MOW_02,_MOW_02_SP_131,959122.0,967498.0,14321.0,105304.0,Młodzieżowy Ośrodek Wychowawczy nr 2,Szkoła Podstawowa Specjalna nr 131,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Rembertów,Kawęczyn-Wygoda,ul. Strażacka,57,04-462,Monika,Zdrzyłowska,226735094,226734829,http://www.mowstrazacka.com,http://mow2.bip.um.warszawa.pl,mowstrazacka@mowstrazacka.com,131.0,tak,jednostka budżetowa,11.0,,11.0,3.0,,3.0,nie,nie,nie,nie,nie,tak,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105304,,Poradnia Psychologiczno-Pedagogiczna nr 23,niedostosowani społecznie,,"21,13239288","52,25943169","7509039,18","5791772,724",,,372.0,,
17,_MOW_03,_MOW_03_SP_137,959010.0,967481.0,14352.0,105306.0,Młodzieżowy Ośrodek Wychowawczy nr 3 im. Dr Grzegorza Maja,Szkoła Podstawowa Specjalna nr 137,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Miedzeszyn,ul. Patriotów,90,04-844,Renata,Chwedoruk,228729297,228729297,http://mow3.waw.pl,http://mow3.bip.um.warszawa.pl,mow3@mow3.waw.pl,137.0,tak,jednostka budżetowa,18.0,,18.0,4.0,,4.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105306,,Poradnia Psychologiczno-Pedagogiczna nr 17,niedostosowani społecznie,,"21,20306778","52,17073526","7513892,036","5781915,291",,,369.0,,
18,_MOW_04,_MOW_04_SP_201,230042.0,959725.0,14449.0,105308.0,Młodzieżowy Ośrodek Wychowawczy nr 4,Szkoła Podstawowa Specjalna nr 201,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Mokotów,Sielce,ul. Dolna,19,00-773,Mariusz,Sztyk,228412534,228402868,http://www.mowdolna.pl,http://mow4.bip.um.warszawa.pl,mow4@edu.um.warszawa.pl,201.0,tak,jednostka budżetowa,11.0,,11.0,4.0,,4.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-,tak,tak,,,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105308,,Poradnia Psychologiczno-Pedagogiczna nr 8,niedostosowani społecznie,,"21,03029633","52,20065564","7502071,2","5785225,29",,,155.0,,
24,_OSW_08,_OSW_08_BSI_62,184448.0,142617288.0,14582.0,105313.0,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,Branżowa Szkoła I stopnia Specjalna nr 62,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Solec,ul. Koźmińska,7,00-448,Beata,Kotowska,226291610,226216844,http://www.kozminska.edu.pl,http://sosw8.bip.um.warszawa.pl,sekretariat@kozminska.edu.pl,62.0,tak,jednostka budżetowa,14.0,,14.0,3.0,,3.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-BSI-,tak,tak,tak,,tak,tak,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105313,,Poradnia Psychologiczno-Pedagogiczna nr 1,słabowidzący,,"21,03704071","52,22477378","7502530,941","5787908,957",,,66.0,,
25,_OSW_08,_OSW_08_LO_136,184448.0,141570165.0,14582.0,105309.0,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,CXXXVI Liceum Ogólnokształcące Specjalne,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Solec,ul. Koźmińska,7,00-448,Beata,Kotowska,226291610,226216844,http://www.kozminska.edu.pl,http://sosw8.bip.um.warszawa.pl,sekretariat@kozminska.edu.pl,136.0,tak,jednostka budżetowa,17.0,,17.0,3.0,,3.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-BSI-,tak,tak,tak,,tak,tak,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105309,,Poradnia Psychologiczno-Pedagogiczna nr 1,słabowidzący,,"21,03704071","52,22477378","7502530,941","5787908,957",,,62.0,,
26,_OSW_08,_OSW_08_SP_51,184448.0,15847816.0,14582.0,105312.0,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabowidzących nr 8 im.dr Zofii Galewskiej,Szkoła Podstawowa Specjalna nr 51,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Solec,ul. Koźmińska,7,00-448,Beata,Kotowska,226291610,226216844,http://www.kozminska.edu.pl,http://sosw8.bip.um.warszawa.pl,sekretariat@kozminska.edu.pl,51.0,tak,jednostka budżetowa,83.0,,83.0,16.0,,16.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-LO-BSI-,tak,tak,tak,,tak,tak,,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105312,,Poradnia Psychologiczno-Pedagogiczna nr 1,słabowidzący,,"21,03704071","52,22477378","7502530,941","5787908,957",,,63.0,,
27,_OSW_15,_OSW_15_P_343,193571.0,15851781.0,14620.0,105315.0,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących nr 15 im. Ottona Lipkowskiego,Przedszkole Specjalne nr 343,zespół lub jednostka złożona,przedszkole,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Śródmieście Północne,ul. Twarda,8/12,00-105,Małgorzata,Jastrzębska,222771801,,https://osw15warszawa.edupage.org/,http://sosw15.bip.um.warszawa.pl,sekretariat.sosw15@edu.um.warszawa.pl,343.0,tak,jednostka budżetowa,0.0,21.0,21.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,przedszkole,tak,P-SP-,tak,tak,,tak,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105315,,Poradnia Psychologiczno-Pedagogiczna nr 12,niesłyszący i słabosłyszący,,"21,00053971","52,23503805","7500036,869","5789050,345",,,133.0,07:00,17:00
28,_OSW_15,_OSW_15_SP_196,193571.0,15851806.0,14620.0,105316.0,Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących nr 15 im. Ottona Lipkowskiego,Szkoła Podstawowa Specjalna nr 196,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Śródmieście Północne,ul. Twarda,8/12,00-105,Małgorzata,Jastrzębska,222771801,,https://osw15warszawa.edupage.org/,http://sosw15.bip.um.warszawa.pl,sekretariat.sosw15@edu.um.warszawa.pl,196.0,tak,jednostka budżetowa,87.0,,87.0,16.0,,16.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,P-SP-,tak,tak,,tak,tak,,,,,,tak,,,https://rspo.gov.pl/rspo/105316,,Poradnia Psychologiczno-Pedagogiczna nr 12,słabosłyszący,,"21,00053971","52,23503805","7500036,869","5789050,345",,,135.0,,
29,_OSW_IG,_OSW_IG_BSI_50,186111.0,140008390.0,14781.0,105324.0,Instytut Głuchoniemych im. Jakuba Falkowskiego,Branżowa Szkoła I stopnia Specjalna nr 50,zespół lub jednostka złożona,szkoła branżowa I stopnia,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Śródmieście Południowe,Plac Trzech Krzyży,4/6,00-499,Tadeusz,Adamiec,226280431,226254720,http://instytut-gluchoniemych.waw.pl,http://igfalkowskiego.bip.um.warszawa.pl,instytutgluch@instytutgluch.pl,50.0,tak,jednostka budżetowa,25.0,,25.0,5.0,,5.0,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-T-BSI-S przysp zaw-,tak,tak,tak,,tak,tak,tak,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105324,,Poradnia Psychologiczno-Pedagogiczna nr 11,niesłyszący,,"21,02377319","52,22866534","7501624,28","5788341,563",,,83.0,,
30,_OSW_IG,_OSW_IG_LO_124,186111.0,140008355.0,14781.0,105317.0,Instytut Głuchoniemych im. Jakuba Falkowskiego,CXXIV Liceum Ogólnokształcące Specjalne,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Śródmieście,Śródmieście Południowe,Plac Trzech Krzyży,4/6,00-499,Tadeusz,Adamiec,226280431,226254720,http://instytut-gluchoniemych.waw.pl,http://igfalkowskiego.bip.um.warszawa.pl,instytutgluch@instytutgluch.pl,124.0,tak,jednostka budżetowa,,,,,,,,,,,,,,,,,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-T-BSI-S przysp zaw-,tak,tak,tak,,tak,tak,tak,tak,,,tak,tak,,https://rspo.gov.pl/rspo/105317,,Poradnia Psychologiczno-Pedagogiczna nr 11,niesłyszący,,"21,02377319","52,22866534","7501624,28","5788341,563",,,81.0,,
